frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
61,3,[1070.752685546875 1212.3447265625 1716.944580078125 1697.1298828125],car,[1276.384033203125 1516.824462890625 1497.847900390625 1580.37451171875],0.42886701226234436,GX15OCJ,0.944221655046128
62,2,[2210.543212890625 1480.1728515625 2995.0 2151.52783203125],car,[2507.351806640625 1994.6832275390625 2713.039306640625 2064.136474609375],0.8248552680015564,MIESV,0.07300309969665793
63,2,[2210.5400390625 1487.2138671875 3000.97412109375 2152.888671875],car,[2511.0888671875 2012.7235107421875 2714.61572265625 2071.47021484375],0.8228482604026794,MUTVSV,0.0429803949844609
64,2,[2210.1767578125 1490.6976318359375 3004.727783203125 2153.058349609375],car,[2511.990966796875 2018.332763671875 2714.277099609375 2076.439453125],0.8452847003936768,VUAVSV,0.044977695470281624
65,2,[2211.30322265625 1498.2943115234375 3011.9609375 2153.03564453125],car,[2514.41015625 2025.205810546875 2719.439208984375 2088.55615234375],0.8260120749473572,CUSISV,0.0858279794105533
66,2,[2213.746337890625 1505.735595703125 3017.582763671875 2154.85302734375],car,[2516.17333984375 2035.48681640625 2722.040771484375 2099.64697265625],0.8175058960914612,MISWSV,0.03183395616432129
66,3,[1053.9896240234375 1236.553955078125 1712.52587890625 1730.1925048828125],car,[1275.2044677734375 1542.9085693359375 1493.6910400390625 1609.475830078125],0.3533700108528137,GX15OCJ,0.18944980183746063
67,2,[2215.1650390625 1509.0506591796875 3021.06787109375 2154.02783203125],car,[2518.007080078125 2039.94921875 2726.29248046875 2106.13623046875],0.8215120434761047,MUSWSU,0.046943761531199314
67,3,[1053.4925537109375 1239.0233154296875 1712.509765625 1732.75390625],car,[1293.511962890625 1557.878173828125 1480.5528564453125 1611.049072265625],0.5638606548309326,GX15OCJ,0.36332138033228883
68,2,[2214.776611328125 1518.067138671875 3028.71630859375 2154.176513671875],car,[2523.3935546875 2052.700927734375 2728.150634765625 2118.365478515625],0.7989193797111511,MDWWSW,0.032212263143363146
68,3,[1047.4498291015625 1241.4825439453125 1707.330322265625 1738.697998046875],car,[1286.3115234375 1562.77001953125 1485.816650390625 1616.9267578125],0.486948698759079,GX15OGJ,0.4975540327457113
69,2,[2215.116455078125 1526.1324462890625 3032.26123046875 2153.859130859375],car,[2528.2236328125 2068.396728515625 2732.693115234375 2129.115966796875],0.8175559639930725,NWSV,0.09089706838130951
69,3,[1045.5716552734375 1246.5208740234375 1708.734130859375 1745.69384765625],car,[1283.639404296875 1568.483642578125 1462.4429931640625 1621.106689453125],0.2945225238800049,GX15OGJ,0.3661633929887217
70,2,[2215.53857421875 1534.4180908203125 3033.662841796875 2152.46875],car,[2524.64892578125 2071.27099609375 2734.005859375 2133.061767578125],0.809025764465332,MUJWEV,0.09211684130929013
71,2,[2217.674560546875 1542.9769287109375 3035.314453125 2153.205810546875],car,[2524.368896484375 2080.206298828125 2737.701416015625 2143.306884765625],0.8144350051879883,NLAEV,0.019888143651273914
75,3,[1025.4619140625 1277.1646728515625 1702.993408203125 1784.34716796875],car,[1270.4764404296875 1605.8243408203125 1460.4615478515625 1660.9295654296875],0.4022037088871002,GY15OGJ,0.3547764835795621
